,TCONST,TITLE,YEAR,BECHDEL,RATING,VOTES,PRODUCTION_CO,BUDGET,RELEASE_DAY,RELEASE_MON,RELEASE_YEAR,COUNTRY,WINNER,RANK
38,tt0060665,a man for all seasons,1966,1,7.8,28440,Highland,2000000,3,5.0,1967,France,1,1
39,tt0061811,in the heat of the night,1967,1,8.0,60845,The,2000000,25,10.0,1967,Argentina,1,1
40,tt0063385,oliver!,1968,0,7.5,31628,Romulus,10000000,27,9.0,1968,UK,1,1
41,tt0064665,midnight cowboy,1969,1,7.9,91318,Jerome,3600000,16,6.0,1969,Brazil,1,1
42,tt0066206,patton,1970,0,8.0,88502,Twentieth,12000000,2,4.0,1970,USA,1,1
43,tt0067116,the french connection,1971,0,7.8,100227,Philip,1800000,9,10.0,1971,USA,1,1
44,tt0068646,the godfather,1972,0,9.2,1455167,Paramount,6000000,24,3.0,1972,USA,1,1
45,tt0070735,the sting,1973,0,8.3,222400,Zanuck/Brown,5500000,25,12.0,1973,USA,1,1
46,tt0071562,the godfather part ii,1974,0,9.0,1011948,Paramount,13000000,20,12.0,1974,USA,1,1
47,tt0073486,one flew over the cuckoo's nest,1975,0,8.7,839129,Fantasy,4400000,19,11.0,1975,USA,1,1
48,tt0075148,rocky,1976,1,8.1,476634,Chartoff-Winkler,960000,3,12.0,1976,USA,1,1
49,tt0075686,annie hall,1977,1,8.0,237705,Jack,4000000,20,4.0,1977,USA,1,1
50,tt0077416,the deer hunter,1978,0,8.1,286346,EMI,15000000,23,2.0,1979,USA,1,1
51,tt0079417,kramer vs. kramer,1979,1,7.8,119323,Columbia,8000000,19,12.0,1979,USA,1,1
52,tt0081283,ordinary people,1980,1,7.8,42582,Paramount,6000000,26,2.0,1981,Italy,1,1
53,tt0082158,chariots of fire,1981,1,7.2,49652,Twentieth,5500000,9,4.0,1982,USA,1,1
54,tt0083987,gandhi,1982,0,8.0,208554,International,22000000,25,2.0,1983,USA,1,1
55,tt0086425,terms of endearment,1983,1,7.4,49828,Paramount,8000000,9,12.0,1983,USA,1,1
56,tt0086879,amadeus,1984,1,8.3,340114,"AMLF,",18000000,19,9.0,1984,USA,1,1
57,tt0089755,out of africa,1985,1,7.2,65145,Mirage,31000000,20,12.0,1985,USA,1,1
58,tt0091763,platoon,1986,1,8.1,354017,"Hemdale,",6000000,6,2.0,1987,USA,1,1
59,tt0093389,the last emperor,1987,0,7.8,85675,Recorded,23000000,15,4.0,1988,USA,1,1
60,tt0095953,rain man,1988,1,8.0,443745,United,25000000,16,12.0,1988,USA,1,1
61,tt0097239,driving miss daisy,1989,1,7.4,89905,The,7500000,26,1.0,1990,USA,1,1
62,tt0099348,dances with wolves,1990,1,8.0,222235,Tig,22000000,21,11.0,1990,USA,1,1
63,tt0102926,the silence of the lambs,1991,0,8.6,1146640,Strong,19000000,14,2.0,1991,USA,1,1
64,tt0105695,unforgiven,1992,1,8.2,344542,Warner,14400000,7,8.0,1992,USA,1,1
65,tt0108052,schindler's list,1993,0,8.9,1099627,Universal,22000000,4,2.0,1994,USA,1,1
66,tt0109830,forrest gump,1994,1,8.8,1629271,Paramount,55000000,6,7.0,1994,USA,1,1
67,tt0112573,braveheart,1995,1,8.3,897543,Icon,72000000,24,5.0,1995,USA,1,1
68,tt0116209,the english patient,1996,0,7.4,166963,"Miramax,",27000000,6,12.0,1996,USA,1,1
69,tt0120338,titanic,1997,1,7.8,964919,Twentieth,200000000,19,12.0,1997,USA,1,1
70,tt0138097,shakespeare in love,1998,1,7.1,202026,Universal,25000000,8,1.0,1999,USA,1,1
71,tt0169547,american beauty,1999,1,8.4,996857,"DreamWorks,",15000000,1,10.0,1999,USA,1,1
72,tt0172495,gladiator,2000,1,8.5,1223728,"DreamWorks,",103000000,5,5.0,2000,USA,1,1
73,tt0268978,a beautiful mind,2001,1,8.2,777157,Universal,58000000,4,1.0,2002,USA,1,1
74,tt0299658,chicago,2002,1,7.2,202263,"Miramax,",45000000,24,1.0,2003,USA,1,1
75,tt0167260,the lord of the rings: the return of the king,2003,0,8.9,1508263,New,94000000,17,12.0,2003,USA,1,1
76,tt0405159,million dollar baby,2004,1,8.1,590190,Warner,30000000,28,1.0,2005,USA,1,1
77,tt0375679,crash,2005,1,7.8,402175,Bob,6500000,6,5.0,2005,USA,1,1
78,tt0407887,the departed,2006,0,8.5,1085604,Warner,90000000,6,10.0,2006,USA,1,1
79,tt0477348,no country for old men,2007,1,8.1,773734,Paramount,25000000,21,11.0,2007,USA,1,1
80,tt1010048,slumdog millionaire,2008,1,8.0,751047,Celador,15000000,25,12.0,2008,USA,1,1
81,tt0887912,the hurt locker,2009,0,7.6,395050,Voltage,15000000,31,7.0,2009,USA,1,1
82,tt1504320,the king's speech,2010,0,8.0,597078,See-Saw,15000000,25,12.0,2010,USA,1,1
83,tt1655442,the artist,2011,0,7.9,218034,Studio,15000000,20,1.0,2012,USA,1,1
84,tt1024648,argo,2012,1,7.7,537857,Warner,44500000,12,10.0,2012,USA,1,1
85,tt2024544,12 years a slave,2013,1,8.1,582081,Regency,20000000,8,11.0,2013,USA,1,1
86,tt2562232,birdman or (the unexpected virtue of ignorance),2014,0,7.7,524178,New,18000000,14,11.0,2014,USA,1,1
87,tt1895587,spotlight,2015,1,8.1,369544,Participant,20000000,20,11.0,2015,USA,1,1
88,tt4975722,moonlight,2016,1,7.4,231664,"A24,",1500000,18,11.0,2016,USA,1,1
89,tt5580390,the shape of water,2017,0,7.3,314386,Bull,19400000,22,12.0,2017,USA,1,1
