original_title,title,release_date,budget,revenue,popularity,vote_average,vote_count
Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows,2011-11-22,125000000,334615000,81.49962099999999,7.0,3886
Clash of the Titans,Clash of the Titans,2010-04-01,125000000,232713139,47.686442,5.6,2233
Total Recall,Total Recall,1990-06-01,65000000,261317921,43.129703000000006,7.1,1710
The 13th Warrior,The 13th Warrior,1999-08-27,160000000,61698899,27.220157,6.4,510
The Bourne Legacy,The Bourne Legacy,2012-08-08,130000000,276572938,90.33681,6.0,2651
Batman & Robin,Batman & Robin,1997-06-20,125000000,238207122,50.073575,4.2,1418
How the Grinch Stole Christmas,How the Grinch Stole Christmas,2000-11-17,123000000,345141403,45.419668,6.2,1386
The Day After Tomorrow,The Day After Tomorrow,2004-05-26,125000000,544272402,41.380094,6.2,2392
Mission: Impossible II,Mission: Impossible II,2000-05-24,125000000,546388105,54.931334,5.9,1928
The Perfect Storm,The Perfect Storm,2000-03-15,120000000,325756637,25.752118,6.2,597
4: Rise of the Silver Surfer,Fantastic 4: Rise of the Silver Surfer,2007-06-13,130000000,289047763,60.810722999999996,5.4,2589
Life of Pi,Life of Pi,2012-11-20,120000000,609016565,51.328145,7.2,5797
Ghost Rider,Ghost Rider,2007-02-16,110000000,228738393,46.834703999999995,5.2,1712
Jason Bourne,Jason Bourne,2016-07-27,120000000,415484914,62.641286,5.9,2341
Charlie's Angels: Full Throttle,Charlie's Angels: Full Throttle,2003-06-27,120000000,259175788,33.616115,5.2,914
Prometheus,Prometheus,2012-05-30,130000000,403170142,68.889395,6.3,5080
Stuart Little 2,Stuart Little 2,2002-07-19,120000000,169956806,27.990284000000003,5.4,613
Elysium,Elysium,2013-08-07,115000000,286140700,67.33766999999999,6.4,3439
The Chronicles of Riddick,The Chronicles of Riddick,2004-06-11,105000000,115772733,27.835435999999998,6.3,1570
RoboCop,RoboCop,2014-01-30,120000000,242688965,66.757869,5.7,2342
Speed Racer,Speed Racer,2008-05-09,120000000,93945766,17.060695000000003,5.7,354
How Do You Know,How Do You Know,2010-12-17,120000000,48668907,11.137655,4.9,223
Knight and Day,Knight and Day,2010-06-15,117000000,261930431,44.906918,5.9,1547
Oblivion,Oblivion,2013-04-10,120000000,286168572,67.698004,6.4,4800
Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,2005-05-17,113000000,850000000,44.108427,7.1,4116
Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,2002-05-15,120000000,649398328,43.987061,6.4,3992
"Monsters, Inc.","Monsters, Inc.",2001-11-01,115000000,562816256,106.815545,7.5,5996
The Wolverine,The Wolverine,2013-07-23,120000000,415440673,15.953444000000001,6.3,4053
Star Wars: Episode I - The Phantom Menace,Star Wars: Episode I - The Phantom Menace,1999-05-19,115000000,924317558,54.035265,6.3,4432
The Croods,The Croods,2013-03-20,135000000,585178928,64.18332099999999,6.8,2399
Astérix aux Jeux Olympiques,Asterix at the Olympic Games,2008-01-13,97250400,132900000,20.344364000000002,5.0,471
Windtalkers,Windtalkers,2002-06-14,115000000,77628265,18.714197,5.8,341
The Huntsman: Winter's War,The Huntsman: Winter's War,2016-04-06,115000000,164602163,60.467983999999994,6.0,1523
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,2014-08-07,125000000,477200000,143.350376,5.8,2636
Gravity,Gravity,2013-09-27,105000000,716392705,110.153618,7.3,5751
Dante's Peak,Dante's Peak,1997-02-07,116000000,178127760,16.90444,5.7,428
Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles: Out of the Shadows,2016-06-01,135000000,245623848,39.873791,5.8,963
Fantastic Four,Fantastic Four,2015-08-05,120000000,167977596,38.126095,4.4,2278
Night at the Museum,Night at the Museum,2006-10-20,110000000,574480841,48.780039,6.3,2862
San Andreas,San Andreas,2015-05-27,110000000,470490832,100.412364,6.0,2968
Tomorrow Never Dies,Tomorrow Never Dies,1997-12-11,110000000,333011068,42.887121,6.0,925
The Patriot,The Patriot,2000-06-28,110000000,215294342,23.657284,6.8,1099
Ocean's Twelve,Ocean's Twelve,2004-12-09,110000000,362744280,76.840712,6.4,2124
Mr. & Mrs. Smith,Mr. & Mrs. Smith,2005-06-07,110000000,478207520,44.635452,6.5,2965
Insurgent,Insurgent,2015-03-18,110000000,295238201,103.71838699999999,6.2,3829
The Aviator,The Aviator,2004-12-17,116000000,102000000,45.616098,7.0,1489
Gulliver's Travels,Gulliver's Travels,2010-12-25,112000000,237382724,22.845143,4.9,621
The Green Hornet,The Green Hornet,2011-01-12,120000000,227817248,31.703608000000003,5.5,1251
300: Rise of an Empire,300: Rise of an Empire,2014-03-05,110000000,337580051,71.51059599999999,6.1,2397
The Smurfs,The Smurfs,2011-07-29,110000000,563749323,36.65422,5.5,1179
Home on the Range,Home on the Range,2004-04-02,110000000,103951461,19.625972,5.7,389
Allegiant,Allegiant,2016-03-09,110000000,179246868,86.105615,5.9,1998
Real Steel,Real Steel,2011-09-28,110000000,299268508,37.195046000000005,6.6,2692
The Smurfs 2,The Smurfs 2,2013-07-30,105000000,347434178,32.473628000000005,5.5,695
Speed 2: Cruise Control,Speed 2: Cruise Control,1997-06-13,160000000,164508066,23.336875,4.1,434
Ender's Game,Ender's Game,2013-10-23,110000000,125537191,45.94834,6.6,2303
Live Free or Die Hard,Live Free or Die Hard,2007-06-20,110000000,383531464,48.933370000000004,6.4,2089
The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,93000000,871368364,138.049577,8.0,8705
Around the World in 80 Days,Around the World in 80 Days,2004-06-16,110000000,72178895,22.643776000000003,5.7,672
Ali,Ali,2001-12-11,107000000,87713825,18.866672,6.7,447
"I, Robot","I, Robot",2004-07-15,120000000,347234916,95.914473,6.7,3793
Kingdom of Heaven,Kingdom of Heaven,2005-05-03,130000000,211643158,44.490453,6.6,1157
Stuart Little,Stuart Little,1999-12-17,133000000,300135367,30.475296999999998,5.8,959
The Princess and the Frog,The Princess and the Frog,2009-12-08,105000000,267045765,62.479574,6.7,1247
The Martian,The Martian,2015-09-30,108000000,630161890,167.93287,7.6,7268
The Island,The Island,2005-07-20,126000000,162949164,37.68056,6.5,1770
Town & Country,Town & Country,2001-04-27,90000000,10372291,1.004579,3.7,16
Gone in Sixty Seconds,Gone in Sixty Seconds,2000-06-09,90000000,237202299,52.995628,6.1,1485
Gladiator,Gladiator,2000-05-01,103000000,457640427,95.301296,7.9,5439
Minority Report,Minority Report,2002-06-20,102000000,358372926,65.948959,7.1,2608
Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,2002-11-13,100000000,876688482,132.397737,7.4,5815
Casino Royale,Casino Royale,2006-11-14,150000000,599045960,88.935165,7.3,3855
Planet of the Apes,Planet of the Apes,2001-07-25,100000000,362211740,51.188633,5.6,1243
Terminator 2: Judgment Day,Terminator 2: Judgment Day,1991-07-01,100000000,520000000,101.74155,7.7,4185
Public Enemies,Public Enemies,2009-07-01,80000000,214104620,33.691694,6.5,1344
American Gangster,American Gangster,2007-11-02,100000000,266465037,42.361215,7.4,1502
True Lies,True Lies,1994-07-14,115000000,378882411,38.729418,6.8,1116
The Taking of Pelham 1 2 3,The Taking of Pelham 1 2 3,2009-06-11,100000000,150166126,40.597856,6.2,954
Little Fockers,Little Fockers,2010-12-21,100000000,310650585,32.389353,5.4,1060
The Other Guys,The Other Guys,2010-08-06,100000000,170432927,24.399642,6.1,1383
Eraser,Eraser,1996-06-21,100000000,242295562,24.507987,5.6,543
Django Unchained,Django Unchained,2012-12-25,100000000,425368238,82.121691,7.8,10099
The Hunchback of Notre Dame,The Hunchback of Notre Dame,1996-06-21,100000000,100138851,46.727940999999994,6.8,1129
The Emperor's New Groove,The Emperor's New Groove,2000-12-09,100000000,169327687,51.113717,7.2,1490
The Expendables 2,The Expendables 2,2012-08-08,100000000,312573423,53.73289200000001,6.1,2896
National Treasure,National Treasure,2004-11-19,100000000,347451894,58.849256000000004,6.4,1926
Eragon,Eragon,2006-12-14,100000000,249288105,30.863434,4.9,967
Where the Wild Things Are,Where the Wild Things Are,2009-10-16,100000000,100086793,31.586215000000003,6.4,572
Epic,Epic,2013-05-15,100000000,268426634,36.711378,6.4,1121
